ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
CDXS,0.03658019512508433,0.048273381435009255,-0.07624318042283262,-0.3278688740839206,0,0,0,0,0,0,0,0.0,0.0,0.0
CELC,0.03674494531751638,0.22894867181063872,0.3130466938508819,6.606741584270875,1,0,3,2,0,5,5,0.3333333333333333,0.3333333333333333,0.0
CGEM,0.03262652960846107,-0.13365751059986664,-0.027895400749796906,0.3466135538900381,0,8,1,0,0,9,9,0.0,0.0,8.0
CGON,0.022682489163638297,-0.004967760114227837,0.10438447383143323,0.5330769465519831,1,1,1,2,0,4,4,0.4,0.4,0.3333333333333333
CLDX,0.03344507914014965,0.036138662136135924,0.07696989176336966,0.27911548887968896,0,0,0,0,0,0,0,0.0,0.0,0.0
CLLS,0.029046242835084866,0.06452884562657246,0.2270548447068771,2.2524590922568133,1,0,0,0,0,0,0,0.0,0.0,0.0
CMPS,0.10216142993685334,-0.18582498107961942,0.20673022965601506,1.4035714763159661,1,0,0,0,0,0,0,0.0,0.0,0.0
CMPX,0.0347207721932753,0.22111803487233128,0.3768658966574323,0.9807693401031985,1,0,1,0,0,1,1,0.0,0.0,0.0
CNTA,0.034447809303272924,0.018454556542587874,-0.053206442556619105,0.8866058042475375,1,0,0,0,0,0,0,0.0,0.0,0.0
COGT,0.045935459966645706,0.2842061438263703,0.20313521020555525,4.281336918599844,1,0,4,1,0,5,5,0.16666666666666666,0.16666666666666666,0.0
CPRX,0.017362862358258773,-0.1208779096357454,-0.11087967104668839,0.1087556967755261,0,0,0,0,0,1,1,0.0,0.0,0.0
CRBU,0.06654100979641005,0.12244276861999481,0.42076337176111356,0.3095238005132812,0,2,0,0,0,2,2,0.0,0.0,2.0
CRL,0.019427517661413443,0.10028099766616316,0.0681402824473697,0.3389574203041761,0,0,0,0,0,0,0,0.0,0.0,0.0
CRNX,0.019804099084982638,-0.055212546364163395,-0.14703769465482996,0.6522948567309941,1,1,5,5,0,11,11,0.4166666666666667,0.4166666666666667,0.16666666666666666
CRSP,0.027646762630974674,0.2872512786641235,0.32368552942739404,0.10958063112535776,0,0,2,0,0,2,2,0.0,0.0,0.0
CRVS,0.051401591712699694,0.08611356541257786,0.27591572701318146,0.8624999523162842,1,2,0,1,0,3,3,0.25,0.25,1.0
