,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,late_stage_ratio,pipeline_density,ticker
52,1.0986122886681096,1.6094379124341003,0.0,0.0,2.0794415416798357,2.0794415416798357,0.0,1.0,BEAM
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BHVN
54,1.9459101490553132,2.0794415416798357,2.70805020110221,0.0,3.8918202981106265,3.8918202981106265,0.6958312547002479,1.0,BIIB
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIOA
56,1.0986122886681096,2.3978952727983707,1.6094379124341003,0.6931471805599453,3.258096538021482,3.258096538021482,0.7067270923753284,1.0,BMRN
57,4.02535169073515,5.288267030694535,4.2626798770413155,1.9459101490553132,6.0473721790462776,6.0473721790462776,1.0266591574451065,1.0,BMY
58,2.1972245773362196,3.295836866004329,2.639057329615259,0.0,3.8918202981106265,3.8918202981106265,0.6781035935540112,1.0,BNTX
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRKR
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CABA
61,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,1.791759469228055,1.791759469228055,0.3868528072345416,1.0,CADL
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CATX
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCC
64,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,CDNA
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CDTX
66,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.6094379124341003,1.6094379124341003,0.43067655807339306,1.0,CDXS
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CELC
68,0.0,1.6094379124341003,1.0986122886681096,0.0,1.9459101490553132,1.9459101490553132,0.5645750340535796,1.0,CGEM
69,2.1972245773362196,0.6931471805599453,0.0,0.0,2.302585092994046,2.302585092994046,0.0,1.0,CGON
70,0.6931471805599453,0.6931471805599453,1.0986122886681096,0.0,1.6094379124341003,1.6094379124341003,0.6826061944859853,1.0,CLDX
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLLS
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMPS
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMPX
74,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,CNTA
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COGT
76,0.0,1.6094379124341003,0.6931471805599453,0.0,1.791759469228055,1.791759469228055,0.3868528072345416,1.0,CPRX
77,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,CRBU
78,1.0986122886681096,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,CRL
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNX
80,0.6931471805599453,1.791759469228055,1.791759469228055,0.0,2.4849066497880004,2.4849066497880004,0.7210570543488701,1.0,CRSP
81,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,CRVS
82,1.0986122886681096,0.0,0.6931471805599453,0.0,1.3862943611198906,1.3862943611198906,0.5,1.0,CSTL
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTKB
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTMX
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTNM
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CVAC
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYTK
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAWN
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNA
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNLI
